strike1,strike2,strike3,violation,expiration,T
400.0,405.0,410.0,-0.00019999999999982255,2025-08-11,0.00821917808219178
415.0,420.0,425.0,-0.00019999999999980033,2025-08-11,0.00821917808219178
430.0,435.0,440.0,-0.00019999999999982255,2025-08-11,0.00821917808219178
440.0,445.0,450.0,-0.0003999999999996229,2025-08-11,0.00821917808219178
455.0,460.0,465.0,-0.0018000000000006234,2025-08-11,0.00821917808219178
480.0,485.0,490.0,-0.0008000000000015328,2025-08-11,0.00821917808219178
510.0,515.0,520.0,-0.0004000000000013326,2025-08-11,0.00821917808219178
520.0,525.0,530.0,-5.551115123125783e-16,2025-08-11,0.00821917808219178
525.0,530.0,535.0,-0.0003999999999996229,2025-08-11,0.00821917808219178
540.0,545.0,550.0,-0.00019999999999982255,2025-08-11,0.00821917808219178
560.0,565.0,570.0,-0.00019999999999982255,2025-08-11,0.00821917808219178
570.0,575.0,580.0,-0.00020000000000095497,2025-08-11,0.00821917808219178
580.0,585.0,590.0,-0.00020000000000037766,2025-08-11,0.00821917808219178
585.0,590.0,595.0,-0.0003999999999996229,2025-08-11,0.00821917808219178
595.0,600.0,605.0,-0.00019999999999980033,2025-08-11,0.00821917808219178
600.0,605.0,608.0,-0.000250000000000139,2025-08-11,0.00821917808219178
608.0,609.0,610.0,-0.0049999999999954525,2025-08-11,0.00821917808219178
610.0,611.0,612.0,-0.025000000000005684,2025-08-11,0.00821917808219178
613.0,614.0,615.0,-0.8999999999999986,2025-08-11,0.00821917808219178
615.0,616.0,617.0,-0.00999999999999801,2025-08-11,0.00821917808219178
616.0,617.0,618.0,-0.03500000000000014,2025-08-11,0.00821917808219178
619.0,620.0,621.0,-0.0899999999999963,2025-08-11,0.00821917808219178
620.0,621.0,622.0,-0.010000000000001563,2025-08-11,0.00821917808219178
625.0,626.0,627.0,-0.005000000000002558,2025-08-11,0.00821917808219178
631.0,632.0,633.0,-0.019999999999997797,2025-08-11,0.00821917808219178
644.0,645.0,648.0,-0.0025000000000136484,2025-08-11,0.00821917808219178
645.0,648.0,649.0,-0.009999999999999936,2025-08-11,0.00821917808219178
651.0,652.0,653.0,-0.005000000000002558,2025-08-11,0.00821917808219178
652.0,653.0,654.0,-0.004999999999999005,2025-08-11,0.00821917808219178
655.0,656.0,657.0,-0.005000000000002558,2025-08-11,0.00821917808219178
660.0,665.0,670.0,-0.000800000000000125,2025-08-11,0.00821917808219178
675.0,680.0,685.0,-0.0004000000000002046,2025-08-11,0.00821917808219178
685.0,690.0,695.0,-0.0002000000000001023,2025-08-11,0.00821917808219178
695.0,700.0,705.0,-0.0001999999999998181,2025-08-11,0.00821917808219178
725.0,730.0,735.0,-0.0003999999999996362,2025-08-11,0.00821917808219178
400.0,405.0,410.0,-0.00019999999999982255,2025-08-12,0.010958904109589041
410.0,415.0,420.0,-0.0003999999999996451,2025-08-12,0.010958904109589041
430.0,435.0,440.0,-0.0005999999999994454,2025-08-12,0.010958904109589041
440.0,445.0,450.0,-0.0003999999999996229,2025-08-12,0.010958904109589041
450.0,455.0,460.0,-0.0007999999999992902,2025-08-12,0.010958904109589041
465.0,470.0,475.0,-0.0003999999999996451,2025-08-12,0.010958904109589041
470.0,475.0,480.0,-0.00019999999999980033,2025-08-12,0.010958904109589041
485.0,490.0,495.0,-0.0003999999999996451,2025-08-12,0.010958904109589041
490.0,495.0,500.0,-0.00019999999999980033,2025-08-12,0.010958904109589041
500.0,505.0,510.0,-0.0003999999999996451,2025-08-12,0.010958904109589041
505.0,510.0,515.0,-0.0001999999999986901,2025-08-12,0.010958904109589041
520.0,525.0,530.0,-0.00020000000000037766,2025-08-12,0.010958904109589041
525.0,530.0,535.0,-0.0005999999999994676,2025-08-12,0.010958904109589041
535.0,540.0,545.0,-0.0005999999999994454,2025-08-12,0.010958904109589041
550.0,555.0,560.0,-0.001000000000000223,2025-08-12,0.010958904109589041
560.0,565.0,570.0,-0.0006000000000000227,2025-08-12,0.010958904109589041
570.0,575.0,580.0,-0.0009999999999996457,2025-08-12,0.010958904109589041
585.0,590.0,595.0,-0.0012000000000000454,2025-08-12,0.010958904109589041
590.0,595.0,600.0,-0.0002000000000001112,2025-08-12,0.010958904109589041
605.0,608.0,609.0,-0.015833333333333144,2025-08-12,0.010958904109589041
610.0,611.0,612.0,-0.00999999999999801,2025-08-12,0.010958904109589041
613.0,614.0,615.0,-0.005000000000006111,2025-08-12,0.010958904109589041
616.0,617.0,618.0,-0.015000000000000568,2025-08-12,0.010958904109589041
622.0,623.0,624.0,-0.005000000000002558,2025-08-12,0.010958904109589041
627.0,628.0,629.0,-0.015000000000000568,2025-08-12,0.010958904109589041
650.0,651.0,652.0,-0.10999999999996561,2025-08-12,0.010958904109589041
651.0,652.0,653.0,-0.020000000000003126,2025-08-12,0.010958904109589041
653.0,654.0,655.0,-0.004999999999999005,2025-08-12,0.010958904109589041
655.0,656.0,657.0,-0.005000000000002558,2025-08-12,0.010958904109589041
660.0,665.0,670.0,-0.0003999999999999204,2025-08-12,0.010958904109589041
670.0,675.0,680.0,-0.00020000000000067078,2025-08-12,0.010958904109589041
680.0,685.0,690.0,-0.0001999999999998181,2025-08-12,0.010958904109589041
695.0,700.0,705.0,-0.0001999999999998181,2025-08-12,0.010958904109589041
700.0,705.0,710.0,-0.0001999999999998181,2025-08-12,0.010958904109589041
710.0,715.0,720.0,-0.0003999999999996362,2025-08-12,0.010958904109589041
725.0,730.0,735.0,-0.00019999999999924955,2025-08-12,0.010958904109589041
400.0,405.0,410.0,-0.0005999999999994454,2025-08-13,0.0136986301369863
420.0,425.0,430.0,-0.00019999999999982255,2025-08-13,0.0136986301369863
430.0,435.0,440.0,-0.00019999999999982255,2025-08-13,0.0136986301369863
450.0,455.0,460.0,-0.00019999999999982255,2025-08-13,0.0136986301369863
465.0,470.0,475.0,-0.0003999999999996229,2025-08-13,0.0136986301369863
475.0,480.0,485.0,-0.00019999999999982255,2025-08-13,0.0136986301369863
480.0,485.0,490.0,-0.00019999999999982255,2025-08-13,0.0136986301369863
485.0,490.0,495.0,-0.00019999999999980033,2025-08-13,0.0136986301369863
495.0,500.0,505.0,-0.0004000000000007775,2025-08-13,0.0136986301369863
500.0,505.0,510.0,-0.0003999999999996229,2025-08-13,0.0136986301369863
505.0,510.0,515.0,-0.00020000000000042206,2025-08-13,0.0136986301369863
515.0,520.0,525.0,-0.0004000000000002002,2025-08-13,0.0136986301369863
520.0,525.0,530.0,-0.00019999999999982255,2025-08-13,0.0136986301369863
530.0,535.0,540.0,-0.0015999999999996906,2025-08-13,0.0136986301369863
540.0,545.0,550.0,-0.0009999999999990906,2025-08-13,0.0136986301369863
545.0,550.0,555.0,-0.002000000000001023,2025-08-13,0.0136986301369863
555.0,560.0,565.0,-0.0037999999999993816,2025-08-13,0.0136986301369863
570.0,575.0,580.0,-0.0015999999999996906,2025-08-13,0.0136986301369863
575.0,580.0,585.0,-0.0006000000000003114,2025-08-13,0.0136986301369863
585.0,590.0,595.0,-0.0002000000000001112,2025-08-13,0.0136986301369863
600.0,605.0,608.0,-0.0020000000000005014,2025-08-13,0.0136986301369863
608.0,609.0,610.0,-0.019999999999999574,2025-08-13,0.0136986301369863
612.0,613.0,614.0,-3.552713678800501e-15,2025-08-13,0.0136986301369863
614.0,615.0,616.0,-0.00999999999999801,2025-08-13,0.0136986301369863
617.0,618.0,619.0,-0.005000000000002558,2025-08-13,0.0136986301369863
619.0,620.0,621.0,-0.0049999999999954525,2025-08-13,0.0136986301369863
620.0,621.0,622.0,-0.004999999999999005,2025-08-13,0.0136986301369863
626.0,627.0,628.0,-0.014999999999997016,2025-08-13,0.0136986301369863
652.0,653.0,654.0,-0.19000000000001166,2025-08-13,0.0136986301369863
653.0,654.0,655.0,-0.004999999999999005,2025-08-13,0.0136986301369863
655.0,656.0,657.0,-0.010000000000001563,2025-08-13,0.0136986301369863
665.0,670.0,675.0,-0.00020000000000038655,2025-08-13,0.0136986301369863
695.0,700.0,705.0,-0.0004000000000007731,2025-08-13,0.0136986301369863
705.0,710.0,715.0,-0.0004000000000007731,2025-08-13,0.0136986301369863
710.0,715.0,720.0,-0.00019999999999981808,2025-08-13,0.0136986301369863
725.0,730.0,735.0,-0.0006000000000005912,2025-08-13,0.0136986301369863
410.0,415.0,420.0,-0.0007999999999992458,2025-08-14,0.01643835616438356
435.0,440.0,445.0,-0.00019999999999982255,2025-08-14,0.01643835616438356
455.0,460.0,465.0,-0.00019999999999982255,2025-08-14,0.01643835616438356
460.0,465.0,470.0,-0.0003999999999996451,2025-08-14,0.01643835616438356
470.0,475.0,480.0,-0.0003999999999996229,2025-08-14,0.01643835616438356
480.0,485.0,490.0,-0.0006000000000017325,2025-08-14,0.01643835616438356
495.0,500.0,505.0,-0.00020000000000095497,2025-08-14,0.01643835616438356
500.0,505.0,510.0,-0.00019999999999982255,2025-08-14,0.01643835616438356
515.0,520.0,525.0,-0.0004000000000002002,2025-08-14,0.01643835616438356
530.0,535.0,540.0,-5.551115123125783e-16,2025-08-14,0.01643835616438356
545.0,550.0,555.0,-5.551115123125783e-16,2025-08-14,0.01643835616438356
555.0,560.0,565.0,-5.551115123125783e-16,2025-08-14,0.01643835616438356
560.0,565.0,570.0,-0.0003999999999996451,2025-08-14,0.01643835616438356
575.0,580.0,585.0,-0.00019999999999982255,2025-08-14,0.01643835616438356
580.0,585.0,590.0,-0.00039999999999991155,2025-08-14,0.01643835616438356
590.0,595.0,600.0,-0.0022000000000002686,2025-08-14,0.01643835616438356
608.0,609.0,610.0,-0.015000000000000568,2025-08-14,0.01643835616438356
611.0,612.0,613.0,-0.010000000000005116,2025-08-14,0.01643835616438356
615.0,616.0,617.0,-7.105427357601002e-15,2025-08-14,0.01643835616438356
618.0,619.0,620.0,-0.004999999999999005,2025-08-14,0.01643835616438356
621.0,622.0,623.0,-3.552713678800501e-15,2025-08-14,0.01643835616438356
624.0,625.0,626.0,-0.010000000000001563,2025-08-14,0.01643835616438356
655.0,656.0,657.0,-0.265000000000052,2025-08-14,0.01643835616438356
656.0,657.0,658.0,-0.020000000000003126,2025-08-14,0.01643835616438356
